Date,Open,High,Low,Close,Volume
2012-01-03,28.93995,29.50005,27.64995,28.08,928052
2012-01-04,28.21005,28.66995,27.49995,27.70995,616466
2012-01-05,27.76005,27.93,26.85,27.12,1005432
2012-01-06,27.25005,27.79005,26.41005,26.91,986287
2012-01-09,27,27.49005,26.11995,27.25005,896951
2012-01-10,27.43995,27.76005,27.25005,27.61995,671732
2012-01-11,27.61995,28.38,27.3,28.23,672239
2012-01-12,28.27005,28.62,27.81,28.24995,729300
2012-01-13,28.45005,28.5,22.63995,22.78995,5502953
2012-01-17,26.65995,27.34005,26.41005,26.59995,4651391
2012-01-18,26.68995,26.88,26.25,26.80995,1260183
2012-01-19,27.01995,27.73995,26.61,26.76,1246222
2012-01-20,26.92005,27,26.4,26.59995,647789
2012-01-23,26.80995,27.21,26.59995,26.77005,594533
2012-01-24,26.62995,27.67995,26.44005,27.42,857914
2012-01-25,27.27,28.00995,27.04995,27.97005,611112
2012-01-26,28.00005,29.58,28.00005,28.93995,1271028
2012-01-27,28.5,29.71995,28.5,29.32995,748361
2012-01-30,29.47995,29.61,28.53,29.56995,690147
2012-01-31,29.88,30,28.87005,29.07,956413
2012-02-01,29.13,29.7,28.99995,29.58,523169
2012-02-02,29.71995,30.88005,29.59995,30.25005,791484
2012-02-03,30.40995,31.33005,30.25005,31.15005,764418
2012-02-06,31.09995,31.90005,31.05,31.8,652161
2012-02-07,31.8,31.8,30.82005,31.60005,939315
2012-02-08,31.60995,32.01,31.29,31.93005,623626
2012-02-09,31.99995,32.89995,31.42995,32.58,1277476
2012-02-10,32.26005,32.26995,29.83995,31.09995,1876975
2012-02-13,31.54995,32.05995,30.9,31.48995,1157858
2012-02-14,31.63995,33.79005,31.39995,33.16995,1810775
2012-02-15,33.10005,34.41,32.26995,33.6,2689141
2012-02-16,33.49995,34.51005,32.53995,34.18995,2078550
2012-02-17,33.99,34.96995,33.49995,34.96995,1376645
2012-02-21,34.87005,34.87005,33.81,34.5,1135788
2012-02-22,34.5,34.72005,32.50005,34.21995,1654985
2012-02-23,33.99,34.96995,33.55995,34.53,820345
2012-02-24,34.48995,34.51995,33.27,33.75,959866
2012-02-27,33.40995,34.00005,33,33.61995,605953
2012-02-28,33.69,34.44,33.16995,33.81,612183
2012-02-29,33.81,34.12005,33.13995,33.40995,535684
2012-03-01,33.51,34.5,33.31005,34.41,703435
2012-03-02,34.26,34.5,33.70995,34.03995,549971
2012-03-05,34.15995,34.39995,33.46005,33.76995,466938
2012-03-06,33.25005,33.28005,32.62005,33.10995,573749
2012-03-07,33.10995,33.3,32.91,33.12,274729
2012-03-08,33.10995,33.49005,33.04005,33.07005,633267
2012-03-09,33.19995,35.31,33.19995,34.74,1553323
2012-03-12,34.69005,36.28995,34.60005,36.01005,1964520
2012-03-13,36.49995,36.58995,35.50005,36.09,1001643
2012-03-14,36,36,34.8,35.29005,851464
2012-03-15,35.28,35.47995,34.78005,34.99995,571596
2012-03-16,34.99005,35.89005,34.83,35.32005,640092
2012-03-19,35.26005,35.32005,34.54005,34.98,1015586
2012-03-20,34.98,35.20005,34.57005,34.96005,567001
2012-03-21,34.93995,35.29995,34.60005,35.14995,607103
2012-03-22,34.96995,35.14995,34.30005,34.39995,458759
2012-03-23,34.42995,34.63005,33.15,34.08,1170567
2012-03-26,35.59995,38.08995,35.04,37.39995,3140891
2012-03-27,37.15995,39.94995,37.03005,37.93995,2540053
2012-03-28,37.78995,38.44005,37.11,37.84995,954970
2012-03-29,38.19,38.19,37.03005,37.33005,796335
2012-03-30,37.74,37.93995,36.67995,37.24005,886312
2012-04-02,37.33005,37.96995,36.52995,36.58005,1028504
2012-04-03,36.72,38.47005,36.67005,38.01,1101420
2012-04-04,35.26995,35.49,34.69005,34.99995,4481725
2012-04-05,35.1,35.44005,34.68,34.71,1007764
2012-04-09,34.09995,34.29,33.10005,33.15,1555475
2012-04-10,33.15,33.85005,32.1,32.46,1847669
2012-04-11,33.24,33.28995,32.01,33.09,1105447
2012-04-12,33.76995,34.48005,32.92005,33.43995,1033804
2012-04-13,33.94005,34.03995,32.85,33.58995,649580
2012-04-16,33.58005,33.70005,32.08995,32.25,1099751
2012-04-17,32.43,33.07005,32.04,32.23995,1115538
2012-04-18,32.08995,32.74995,31.53,32.65995,823096
2012-04-19,32.74995,33.43005,32.50005,33.16005,774878
2012-04-20,33.13995,33.73005,32.94,33.16005,821774
2012-04-23,32.86005,32.97,31.71,31.93995,890715
2012-04-24,31.81995,32.20005,31.00005,31.81995,674467
2012-04-25,32.07,32.98995,32.07,32.91,712133
2012-04-26,32.95995,33.52005,32.91,33.49005,425719
2012-04-27,33.6,33.63,32.91,33.34005,590905
2012-04-30,33.27,33.36,32.58,33.13005,413848
2012-05-01,33.13005,34.21005,33.13005,33.78,683198
2012-05-02,33.49995,34.39005,33.39,33.94005,497251
2012-05-03,33.91005,34.00005,32.13,32.46,842107
2012-05-04,32.32005,32.46,31.39995,31.83,1247486
2012-05-07,31.96005,32.58,31.60995,32.47005,1157969
2012-05-08,32.50005,32.73,29.37,30.19005,3133152
2012-05-09,30.3,30.76995,29.76,30.06,1935993
2012-05-10,32.97,34.68,32.4,32.95995,5638084
2012-05-11,32.49,33.43995,32.16,32.25,1221205
2012-05-14,31.92,32.13,30.04995,30.06,1408827
2012-05-15,30.25995,30.96,29.22,29.43,1585682
2012-05-16,29.58,30.18,28.87995,29.17995,1271533
2012-05-17,29.29995,29.79,28.24005,28.57005,1020136
2012-05-18,28.36995,28.45995,26.83005,27.55995,1616487
2012-05-21,27.58005,29.26005,27.12,28.77,1528559
2012-05-22,30.10005,31.33995,30,30.79005,2366170
2012-05-23,30.55995,31.05,29.50005,31.02,1242790
